date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:38	96/96	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Thu,%2012%20May%202022%2021:33:09%20GMT	https://www.pastnotes82.tk/robots.txt		(from )
10:20:39	134120/134120	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20May%202022%2021:33:09%20GMT	https://www.pastnotes82.tk/	www.pastnotes82.tk/html/index.html	(from )
10:20:47	85955/85955	---M--	200	added ('OK')	image/jpeg	etag:%22v1%22	http://themes.googleusercontent.com/image?id=1ZygE97_U_mmMOtoTGkMZll-JNbyfsqhAUw6zsMRGgk4ZzWbQsBOLV5GkQDV8YuZ0THk0	themes.googleusercontent.com/images/unnamed4373.jpg	(from https://www.pastnotes82.tk/)
10:20:47	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2012%20May%202022%2021:33:09%20GMT	https://www.pastnotes82.tk/favicon.ico	www.pastnotes82.tk/images/favicon.ico	(from https://www.pastnotes82.tk/)
10:20:47	7099/7099	---M--	200	added ('OK')	image/jpeg	etag:%22v5ef%22	https://1.bp.blogspot.com/-bFCactATBZ4/YCTb0Mf4K9I/AAAAAAAABe4/2ZnUo1cXx1Q9gOVKYVvthdBWFItr_fotQCLcBGAsYHQ/w200-h141/02_29_96_+Vice_President_Gore_and_Friends_Star_Lisa_Kudrow_release_PSA_on_new_way_to_file_taxes_over_the_telephone.webp	1.bp.blogspot.com/images/02_29_96_%20vice_president_gore_and_friends_star_lisa_kudrow_release_psa_on_new_way_to_file_taxes_over_the_telephone-2.jpg	(from https://www.pastnotes82.tk/)
10:20:47	48177/48177	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20May%202022%2021:33:09%20GMT	https://www.pastnotes82.tk/2021/02/lisa-kudow-and-taxes.html	www.pastnotes82.tk/html/lisa-kudow-and-taxes.html	(from https://www.pastnotes82.tk/)
10:20:47	388312/388312	---M--	200	added ('OK')	image/jpeg	etag:%22v5ef%22	https://1.bp.blogspot.com/-bFCactATBZ4/YCTb0Mf4K9I/AAAAAAAABe4/2ZnUo1cXx1Q9gOVKYVvthdBWFItr_fotQCLcBGAsYHQ/s2048/02_29_96_+Vice_President_Gore_and_Friends_Star_Lisa_Kudrow_release_PSA_on_new_way_to_file_taxes_over_the_telephone.webp	1.bp.blogspot.com/images/02_29_96_%20vice_president_gore_and_friends_star_lisa_kudrow_release_psa_on_new_way_to_file_taxes_over_the_telephone.jpg	(from https://www.pastnotes82.tk/)
10:20:49	6230/6230	---M--	200	added ('OK')	image/jpeg	etag:%22v5ec%22	https://1.bp.blogspot.com/-tlLh71Q23oI/YCTaa7-6EvI/AAAAAAAABes/HTq3UPBK-poZ_1SjrGzMJczxwYpkbJsaQCLcBGAsYHQ/w200-h141/Nanduri+-+Wikipedia-1.webp	1.bp.blogspot.com/images/nanduri%20-%20wikipedia-2.jpg	(from https://www.pastnotes82.tk/)
10:20:51	7657/7657	---M--	200	added ('OK')	image/png	etag:%22v65e%22	https://1.bp.blogspot.com/-oS5_2DYxsFY/YHzNbAOgoOI/AAAAAAAABl0/6hUdFh0VAtIpL0YZcT33OFnwqf129fSqgCLcBGAsYHQ/w200-h113/betsy_davos.png	1.bp.blogspot.com/images/betsy_davos-2.png	(from https://www.pastnotes82.tk/)
10:20:51	41593/41593	---M--	200	added ('OK')	image/png	etag:%22v65e%22	https://1.bp.blogspot.com/-oS5_2DYxsFY/YHzNbAOgoOI/AAAAAAAABl0/6hUdFh0VAtIpL0YZcT33OFnwqf129fSqgCLcBGAsYHQ/s1200/betsy_davos.png	1.bp.blogspot.com/images/betsy_davos.png	(from https://www.pastnotes82.tk/)
10:20:53	3950/3950	---M--	200	added ('OK')	image/jpeg	etag:%22v660%22	https://1.bp.blogspot.com/-AHKaOB5DVYo/YHzNq6N4pLI/AAAAAAAABl8/jCX_M5WxIYkjWdfwd7vHA4OKi9tSQDQmQCLcBGAsYHQ/w141-h200/descendants.jpeg	1.bp.blogspot.com/images/descendants-2.jpeg	(from https://www.pastnotes82.tk/)
10:20:54	116403/116403	---M--	200	added ('OK')	image/jpeg	etag:%22v660%22	https://1.bp.blogspot.com/-AHKaOB5DVYo/YHzNq6N4pLI/AAAAAAAABl8/jCX_M5WxIYkjWdfwd7vHA4OKi9tSQDQmQCLcBGAsYHQ/s2048/descendants.jpeg	1.bp.blogspot.com/images/descendants.jpeg	(from https://www.pastnotes82.tk/)
10:20:56	395078/395078	---M--	200	added ('OK')	image/jpeg	etag:%22v5ec%22	https://1.bp.blogspot.com/-tlLh71Q23oI/YCTaa7-6EvI/AAAAAAAABes/HTq3UPBK-poZ_1SjrGzMJczxwYpkbJsaQCLcBGAsYHQ/s2048/Nanduri+-+Wikipedia-1.webp	1.bp.blogspot.com/images/nanduri%20-%20wikipedia-1.jpg	(from https://www.pastnotes82.tk/)
10:20:56	23240/23240	---M--	200	added ('OK')	image/png	etag:%22v5e3%22	https://1.bp.blogspot.com/-RdadCC9kE98/YB06-7LBeQI/AAAAAAAABeI/xBl35k8sVbo1w2PlvnctaxlkiIXhNZU_QCLcBGAsYHQ/s320/english-1.png	1.bp.blogspot.com/images/english-2.png	(from https://www.pastnotes82.tk/)
